CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
10046;90020;AUTOSTRADA A-14 (RN-BO);14;San Donato - San Vitale;AUTOSTRADA A-14 (RN-BO);AUTOSTRADA A-14 (RN-BO);17260;15212;2006-11-28;276.0;;;;;;;;;44.51826246534961, 11.373265613133889;"{""coordinates"": [[11.374556308504614, 44.517421398394276], [11.37375657359963, 44.5179723780025], [11.373264663066822, 44.51829167272532], [11.372723652224279, 44.51860949221254], [11.372062580777818, 44.51897902999225], [11.371936831853485, 44.5190414379255]], ""type"": ""LineString""}";
8472;15550;VIA DELLA CAVRIOLA;13;Porto - Saragozza;VIA DI CASAGLIA;VIA DELLA CAVRIOLA;16072;16419;1998-07-08;1010.0;2;;20;;3;;7;;44.46198016652534, 11.302898590968388;"{""coordinates"": [[11.300794095343317, 44.46487103400372], [11.30104802668534, 44.46484014133165], [11.301256109115466, 44.46481145072498], [11.30176768522961, 44.464737992498016], [11.302160294065981, 44.464683910149205], [11.302437866636538, 44.46464908961253], [11.302619693801269, 44.46462186232881], [11.302749001354062, 44.464597584726896], [11.302830903918412, 44.46457237270724], [11.302934770076499, 44.46453730080307], [11.303034630148769, 44.46450041907161], [11.303113463054517, 44.464463970477105], [11.303175347693209, 44.46443161786351], [11.303219015612855, 44.46440435013178], [11.303264790317241, 44.46436385102467], [11.303303514183094, 44.464311250584764], [11.303421877454635, 44.46414302492973], [11.303534349638724, 44.46399186997353], [11.303583595589213, 44.46391883720892], [11.303625241697787, 44.46386480028656], [11.303746300756254, 44.46373158512979], [11.30389838979981, 44.463574867924756], [11.304122662393683, 44.46335783440904], [11.30418263260047, 44.46329668445978], [11.304214209312944, 44.46324809909415], [11.304231910699325, 44.46319543651563], [11.304237495614037, 44.46314409881756], [11.304224419472405, 44.46307568168484], [11.304208078065173, 44.463015009701614], [11.30419708105696, 44.462929148512586], [11.304195238391177, 44.462882327011165], [11.30421800016789, 44.46272603203287], [11.304246072947247, 44.46262739072844], [11.304285727361464, 44.46255248964742], [11.304326686981737, 44.46247210661095], [11.304365819551663, 44.462422279360716], [11.304399503055857, 44.4623889108714], [11.304420929168112, 44.46235360216447], [11.30442387265011, 44.46231213064043], [11.304399793371205, 44.46216440638139], [11.304371692532653, 44.46206908659063], [11.304333209615645, 44.46198050326798], [11.304254318919728, 44.461831715719946], [11.304181646446748, 44.46172529503005], [11.30410958681642, 44.46163412138507], [11.304010563886958, 44.46151516060249], [11.303924213878659, 44.46140901579143], [11.303833146339842, 44.461298617846424], [11.303797928626865, 44.46125464850544], [11.303664150911388, 44.46106446675018], [11.303594875616412, 44.46096670067079], [11.303554468749478, 44.46090648718128], [11.30330569037531, 44.460531055615064], [11.303182136329918, 44.46033641774965], [11.303126605111045, 44.46026397757376], [11.303052978250797, 44.46016642498139], [11.302970082726766, 44.460068114045384], [11.302915009656967, 44.460006989835534], [11.30286471958867, 44.45996743845554], [11.302798345318768, 44.45992067629972], [11.302267605816647, 44.45958524783468], [11.30203932513924, 44.45943988552238], [11.301866934740644, 44.45932593132561], [11.301708694859238, 44.459220190045805], [11.301551650772172, 44.45911159760793], [11.30139802120811, 44.45900575394095], [11.301370282907978, 44.45898697547138], [11.301341780496523, 44.45896538557102], [11.301324308376241, 44.4589398011985], [11.301315518652094, 44.458900375792425], [11.301319670151402, 44.458871996815006], [11.301335463016908, 44.458842059769715], [11.301378269675585, 44.45878880146768], [11.301418215250683, 44.45874750231444], [11.301521460929001, 44.45866681881996], [11.30165225208927, 44.4585677186314], [11.301750838273362, 44.45849546531414], [11.301932842138493, 44.45834530454151], [11.301977819965192, 44.458305092065636]], ""type"": ""LineString""}";759289
8762;61550;VIALE GIOVANNI VICINI;13;Porto - Saragozza;VIALE GIOVANNI VICINI;VIA SABOTINO;16688;16686;1999-11-25;13.0;;;;;;;;;44.49711807371891, 11.327443780902257;"{""coordinates"": [[11.327460684723786, 44.49706099929851], [11.327426877080729, 44.497175148139306]], ""type"": ""LineString""}";759738
8763;61550;VIALE GIOVANNI VICINI;13;Porto - Saragozza;VIA SABOTINO;VIA MONALDO CALARI;16682;15303;1999-11-25;18.0;;;;;;;;;44.49695697642325, 11.327604746323551;"{""coordinates"": [[11.32749605372987, 44.496942155273196], [11.32771343891723, 44.496971797573316]], ""type"": ""LineString""}";759738
8765;56100;VIA SANTO STEFANO;15;Santo Stefano;VIA DE' BUTTIERI;VIA FONDAZZA;16690;6356;1999-12-14;65.0;84;;94;;91;;101;D;44.48724498887759, 11.35305092206627;"{""coordinates"": [[11.353280562995188, 44.48700280015822], [11.353179125489156, 44.48711316543787], [11.35300492812397, 44.487294323377455], [11.352817942546679, 44.48748399100011]], ""type"": ""LineString""}";760307
8767;56100;VIA SANTO STEFANO;15;Santo Stefano;VIA DANTE;VIA BORGOLOCCHI;16691;16689;1999-12-14;11.0;;;;;103;;103;;44.486875812193986, 11.353402490402395;"{""coordinates"": [[11.353439637895855, 44.486832783683205], [11.353365342908937, 44.486918840704774]], ""type"": ""LineString""}";760307
12099;43500;VIA DEL PALEOTTO;16;Savena;VIA DEL PALEOTTO;;5469;18128;2003-09-10;53.0;2;;2;;;;;;44.442509787177215, 11.351027500525698;"{""coordinates"": [[11.35105563522774, 44.44274969296193], [11.35105177347951, 44.442713896927685], [11.351042228875862, 44.44262134817976], [11.351010645920319, 44.442379809279466], [11.351005904681536, 44.44232240698384], [11.350996513637748, 44.442270321986435]], ""type"": ""LineString""}";759235
11924;33000;VIA DEI MACERI;16;Savena;VIA DEI MACERI;VIA DEI MACERI;18055;18056;2023-02-02;27.0;10;;10;;;;;;44.48396147661639, 11.376810556494682;"{""coordinates"": [[11.376951894244597, 44.48389548410224], [11.376669218744768, 44.484027469130545]], ""type"": ""LineString""}";759160
11925;33540;VIA PIETRO MAINOLDI;14;San Donato - San Vitale;VIA DEI MACERI;ROTONDA VITTIME DELLA STRADA;17236;18057;2006-10-26;331.0;4;;4;A;;;;;44.484969436569955, 11.375775838597983;"{""coordinates"": [[11.375867443131263, 44.48344846669992], [11.375893723627767, 44.48355928181799], [11.375848818153129, 44.484974740013335], [11.375804338697872, 44.48567642755864], [11.375783810414163, 44.485842286433595], [11.375764456797171, 44.48587945581206], [11.375701093092534, 44.48593935439842], [11.375550536808715, 44.486065409012355], [11.375412273616993, 44.486138371408195], [11.375252530205936, 44.48622340293806], [11.375208733924097, 44.48624335471171]], ""type"": ""LineString""}";760554
11956;10600;VIA MAURIZIO BUFALINI;11;Borgo Panigale - Reno;VIA MAURIZIO BUFALINI;VIA MAURIZIO BUFALINI;8544;18071;2023-08-24;30.0;;;;;;;;;44.5187391444839, 11.273793551642973;"{""coordinates"": [[11.273870061904384, 44.518860095862], [11.27371704138156, 44.5186181931058]], ""type"": ""LineString""}";760003
